title;year;genres;countries;mpaa;rating;runtime;cover
Wild Things;1998;;USA;R;6.5;108;http://ia.media-imdb.com/images/M/MV5BMTg5MzM5NTAwMl5BMl5BanBnXkFtZTYwNDA0NzQ5._V1._SX99_SY140_.jpg
Boyhood;2014;;USA;R;8.0;165;http://ia.media-imdb.com/images/M/MV5BMTYzNDc2MDc0N15BMl5BanBnXkFtZTgwOTcwMDQ5MTE@._V1._SX95_SY140_.jpg
The Karate Kid;1984;;USA;PG;7.2;126;http://ia.media-imdb.com/images/M/MV5BMTkyNjE3MjM2MV5BMl5BanBnXkFtZTYwMzY5ODk4._V1._SX95_SY140_.jpg
Jumper;2008;;USA|Canada;PG-13;6.1;88;http://ia.media-imdb.com/images/M/MV5BMjEwOTkyOTI3M15BMl5BanBnXkFtZTcwNTQxMjU1MQ@@._V1._SX95_SY140_.jpg
Percy Jackson & the Olympians: The Lightning Thief;2010;;UK|Canada|USA;PG;5.9;118;http://ia.media-imdb.com/images/M/MV5BMTQ0MzY5OTQ2N15BMl5BanBnXkFtZTcwNzI1MTU5Mg@@._V1._SX95_SY140_.jpg
Project Almanac;2015;;USA;PG-13;6.4;106;http://ia.media-imdb.com/images/M/MV5BMTUxMjQ2NjI4OV5BMl5BanBnXkFtZTgwODc2NjUwNDE@._V1._SX90_SY140_.jpg
Remember the Titans;2000;;USA;PG;7.8;113;http://ia.media-imdb.com/images/M/MV5BMTczNTA2MDc0OF5BMl5BanBnXkFtZTYwMTg4MDY2._V1._SX96_SY140_.jpg
Hairspray;2007;;USA|UK;PG;6.8;117;http://ia.media-imdb.com/images/M/MV5BMTIyMTMzNzIyNV5BMl5BanBnXkFtZTcwMjM1NDk0MQ@@._V1._SX96_SY140_.jpg
Carrie;2013;;USA;R;5.9;100;http://ia.media-imdb.com/images/M/MV5BODg2MDU2MjYxNl5BMl5BanBnXkFtZTcwMDQ5MzU0OQ@@._V1._SX94_SY140_.jpg
17 Again;2009;;USA;PG-13;6.4;102;http://ia.media-imdb.com/images/M/MV5BMjA2NTI1Mzg3N15BMl5BanBnXkFtZTcwMjYwNjAzMg@@._V1._SX94_SY140_.jpg
The Place Beyond the Pines;2012;;USA;R;7.3;140;http://ia.media-imdb.com/images/M/MV5BMjc1OTEwNjU4N15BMl5BanBnXkFtZTcwNzUzNDIwOQ@@._V1._SX91_SY140_.jpg
Footloose;2011;;USA;PG-13;5.8;113;http://ia.media-imdb.com/images/M/MV5BMTY3MjIzMjk4M15BMl5BanBnXkFtZTcwMzMxMzIzNg@@._V1._SX90_SY140_.jpg
Avengers: Age of Ultron;2015;;USA;PG-13;7.6;141;http://ia.media-imdb.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1._SX94_SY140_.jpg
Star Wars: Episode VII - The Force Awakens;2015;;USA;PG-13;8.4;135;http://ia.media-imdb.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1._SX95_SY140_.jpg
Minions;2015;;USA;PG;6.5;91;http://ia.media-imdb.com/images/M/MV5BMTg2MTMyMzU0M15BMl5BanBnXkFtZTgwOTU3ODk4NTE@._V1._SX94_SY140_.jpg
Inside Out;2015;;USA;PG;8.3;95;http://ia.media-imdb.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1._SX94_SY140_.jpg
Furious Seven;2015;;Japan|USA;PG-13;7.3;137;http://ia.media-imdb.com/images/M/MV5BMTQxOTA2NDUzOV5BMl5BanBnXkFtZTgwNzY2MTMxMzE@._V1._SX88_SY140_.jpg
The Martian;2015;;USA|UK;PG-13;8.1;144;http://ia.media-imdb.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1._SX95_SY140_.jpg
The Revenant;2015;;USA;R;8.2;156;http://ia.media-imdb.com/images/M/MV5BMjU4NDExNDM1NF5BMl5BanBnXkFtZTgwMDIyMTgxNzE@._V1._SX94_SY140_.jpg
Ant-Man;2015;;USA;PG-13;7.4;117;http://ia.media-imdb.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1._SX94_SY140_.jpg
Spectre;2015;;UK|USA;PG-13;6.9;148;http://ia.media-imdb.com/images/M/MV5BMjM2Nzg4MzkwOF5BMl5BanBnXkFtZTgwNzA0OTE3NjE@._V1._SX94_SY140_.jpg
The Lego Movie;2014;;Australia|USA|Denmark;PG;7.8;100;http://ia.media-imdb.com/images/M/MV5BMTg4MDk1ODExN15BMl5BanBnXkFtZTgwNzIyNjg3MDE@._V1._SX94_SY140_.jpg
Transformers: Age of Extinction;2014;;USA|China;PG-13;5.7;165;http://ia.media-imdb.com/images/M/MV5BMjEwNTg1MTA5Nl5BMl5BanBnXkFtZTgwOTg2OTM4MTE@._V1._SX90_SY140_.jpg
Guardians of the Galaxy;2014;;USA|UK;PG-13;8.1;121;http://ia.media-imdb.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1._SX94_SY140_.jpg
Interstellar;2014;;USA|UK;PG-13;8.6;169;http://ia.media-imdb.com/images/M/MV5BMjIxNTU4MzY4MF5BMl5BanBnXkFtZTgwMzM4ODI3MjE@._V1._SX90_SY140_.jpg
X-Men: Days of Future Past;2014;;USA|UK|Canada;PG- 13;8.0;132;http://ia.media-imdb.com/images/M/MV5BNjk3MGZhMjEtOTM4NC00NzE2LTk2NzctZDc4YTUwN2E3NDhhXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1._SX95_SY140_.jpg
The Hunger Games;2012;;USA;PG-13;7.3;142;http://ia.media-imdb.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1._SX94_SY140_.jpg
The Hobbit: The Battle of the Five Armies;2014;;New Zealand|USA;PG-13;7.5;144;http://ia.media-imdb.com/images/M/MV5BODAzMDgxMDc1MF5BMl5BanBnXkFtZTgwMTI0OTAzMjE@._V1._SX94_SY140_.jpg
Maleficent;2014;;USA|UK;PG;7.0;97;http://ia.media-imdb.com/images/M/MV5BMTQ1NDk3NTk0MV5BMl5BanBnXkFtZTgwMTk3MDcxMzE@._V1._SX99_SY140_.jpg
Divergent;2014;;USA;PG-13;6.8;139;http://ia.media-imdb.com/images/M/MV5BMTYxMzYwODE4OV5BMl5BanBnXkFtZTgwNDE5MzE2MDE@._V1._SX90_SY140_.jpg
Edge of Tomorrow;2014;;USA|Canada;PG-13;7.9;113;http://ia.media-imdb.com/images/M/MV5BMTc5OTk4MTM3M15BMl5BanBnXkFtZTgwODcxNjg3MDE@._V1._SX94_SY140_.jpg
Rio 2;2014;;USA;G;6.4;101;http://ia.media-imdb.com/images/M/MV5BMTgzMDczMDYzNl5BMl5BanBnXkFtZTgwMzk2MDIwMTE@._V1._SX94_SY140_.jpg
How to Train Your Dragon 2;2014;;USA;PG;7.9;102;http://ia.media-imdb.com/images/M/MV5BMzMwMTAwODczN15BMl5BanBnXkFtZTgwMDk2NDA4MTE@._V1._SX94_SY140_.jpg
The Imitation Game;2014;;UK|USA;PG-13;8.1;114;http://ia.media-imdb.com/images/M/MV5BNDkwNTEyMzkzNl5BMl5BanBnXkFtZTgwNTAwNzk3MjE@._V1._SX95_SY140_.jpg
The Maze Runner;2014;;USA|Canada|UK;PG-13;6.8;113;http://ia.media-imdb.com/images/M/MV5BMjUyNTA3MTAyM15BMl5BanBnXkFtZTgwOTEyMTkyMjE@._V1._SX94_SY140_.jpg
Frozen;2013;;USA;PG;7.6;102;http://ia.media-imdb.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1._SX94_SY140_.jpg
Thor: The Dark World;2013;;USA;PG-13;7.1;112;http://ia.media-imdb.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1._SX98_SY140_.jpg
The Wolf of Wall Street;2013;;USA;R;8.2;180;http://ia.media-imdb.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1._SX94_SY140_.jpg
Man of Steel;2013;;USA|Canada|UK;PG-13;7.2;143;http://ia.media-imdb.com/images/M/MV5BMjI5OTYzNjI0Ml5BMl5BanBnXkFtZTcwMzM1NDA1OQ@@._V1._SX96_SY140_.jpg
Iron Man Three;2013;;USA|China;PG-13;7.3;130;http://ia.media-imdb.com/images/M/MV5BMjIzMzAzMjQyM15BMl5BanBnXkFtZTcwNzM2NjcyOQ@@._V1._SY317._SX95_SY140_.jpg
The Hobbit: The Desolation of Smaug;2013;;USA|New Zealand;PG-13;7.9;161;http://ia.media-imdb.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1._SX95_SY140_.jpg
The Hunger Games: Catching Fire;2013;;USA;PG-13;7.6;146;http://ia.media-imdb.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1._SX94_SY140_.jpg
American Hustle;2013;;USA;R;7.3;138;http://ia.media-imdb.com/images/M/MV5BNjkxMTc0MDc4N15BMl5BanBnXkFtZTgwODUyNTI1MDE@._V1._SX94_SY140_.jpg
The World's End;2013;;UK|USA|Japan;R;7.0;109;http://ia.media-imdb.com/images/M/MV5BNzA1MTk1MzY0OV5BMl5BanBnXkFtZTgwNjkzNTUwMDE@._V1._SX94_SY140_.jpg
Gravity;2013;;UK|USA;PG-13;7.9;91;http://ia.media-imdb.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1._SX95_SY140_.jpg
Despicable Me 2;2013;;USA;PG;7.5;98;http://ia.media-imdb.com/images/M/MV5BMjExNjAyNTcyMF5BMl5BanBnXkFtZTgwODQzMjQ3MDE@._V1._SX95_SY140_.jpg
Monsters University;2013;;USA;G;7.4;104;http://ia.media-imdb.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1._SX94_SY140_.jpg
